Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_SMD,27.94284,-85.082135,0,bottom
D10,D,Diode_SMD,65.14284,-79.882135,0,bottom
D11,D,Diode_SMD,64.79284,-87.482135,0,bottom
D13,D,Diode_SMD,27.94284,-83.432135,0,bottom
D14,D,Diode_SMD,76.89289,-47.082135,180,bottom
D15,D,Diode_SMD,76.89289,-50.032135,180,bottom
D16,D,Diode_SMD,79.84599,-84.041535,180,bottom
D17,D,Diode_SMD,79.84289,-87.132135,180,bottom
D18,D,Diode_SMD,76.91629,-43.894635,180,bottom
D19,D,Diode_SMD,76.91629,-45.532135,180,bottom
D2,D,Diode_SMD,27.94284,-86.791535,0,bottom
D20,D,Diode_SMD,76.91629,-48.582135,180,bottom
D21,D,Diode_SMD,76.91629,-51.494635,180,bottom
D22,D,Diode_SMD,79.84289,-85.582135,180,bottom
D23,D,Diode_SMD,71.49284,-44.382135,0,bottom
D24,D,Diode_SMD,71.39289,-64.232135,180,bottom
D25,D,Diode_SMD,71.39289,-65.882135,180,bottom
D26,D,Diode_SMD,71.39289,-67.482135,180,bottom
D27,D,Diode_SMD,71.39289,-69.032135,180,bottom
D3,D,Diode_SMD,27.94284,-88.482135,0,bottom
D5,D,Diode_SMD,33.44289,-83.232135,180,bottom
D6,D,Diode_SMD,33.44289,-84.932135,180,bottom
D7,D,Diode_SMD,33.44599,-86.632135,180,bottom
D9,D,Diode_SMD,33.44289,-81.432135,180,bottom
DI1,D,Diode_SMD,71.49289,-45.932135,180,bottom
DI2,D,Diode_SMD,71.49289,-47.532135,180,bottom
DI3,D,Diode_SMD,71.49289,-49.082135,180,bottom
DI4,D,Diode_SMD,71.44289,-50.632135,180,bottom
DI5,D,Diode_SMD,71.44289,-52.182135,180,bottom
DI6,D,Diode_SMD,71.49289,-42.882135,180,bottom
DS1,D,Diode_SMD,91.99284,-50.332135,0,bottom
DS2,D,Diode_SMD,63.54599,-64.282135,180,bottom
DS3,D,Diode_SMD,63.54289,-65.882135,180,bottom
DS4,D,Diode_SMD,63.54289,-67.482135,180,bottom
DS5,D,Diode_SMD,82.11634,-57.482135,0,bottom
DS6,D,Diode_SMD,71.44289,-41.282135,180,bottom
